Юр. лицо,ФИО,Адресс,Регион,ОГРН ,ИНН,Основной вид деятельности
"ООО ""ТОПЛИВО И РЕГИОНЫ""",КОЛОДКИНА ЕКАТЕРИНА СЕРГЕЕВНА,"127055, г. Москва, Улица Сущёвская, Дом 27, Строение 2, Этаж 3 Пом Iii К 3",Москва,1177746569505,7707386295,47.99
"ООО ""КОНТРОЛЬ ТОПЛИВА""",ХИСМАТУЛЛИН АЗАТ МАРСОВИЧ,"423823, Республика Татарстан, г. Набережные Челны, Бульвар Школьный, 3, 306",Республика Татарстан,1131650018752,1650273222,46.69
"ООО ""КАРЕЛЬСКОЕ ТОПЛИВО""",ВЕДЕРНИКОВ АЛЕКСАНДР ВЛАДИЛИНОВИЧ,"195220, г. Санкт-Петербург, Улица Бутлерова, Дом 24, Литера А, Квартира 18",Санкт-Петербург,1177847347996,7804608899,38.32
"ООО ""ЭТАЛОН-ТОПЛИВО""",АУБАКИРОВ МАРАТ БАЙМУХАНОВИЧ,"644050, Область Омская, г. Омск, Улица Химиков, Дом 19, Офис 8",Омская область,1155543014660,5504096300,46.71
"ООО ""ВЛАД-ТОПЛИВО""",МОЧИНИН АЛЕКСЕЙ ВАСИЛЬЕВИЧ,"121352, г. Москва, Улица Кременчугская, Дом 3, Корпус 4, Офис 14",Москва,1153340000329,3310007114,47.30
"ООО ""ТВЕРДОЕ ТОПЛИВО""",ЩЕРБАКОВ ЮРИЙ ГЕННАДЬЕВИЧ,"197110, г. Санкт-Петербург, Проспект Константиновский, 11, Лит.А, Пом.327",Санкт-Петербург,1089847318450,7813422900,46.71
"ООО ""НЕВСКОЕ ТОПЛИВО""",РЫБНИКОВ ВЛАДИМИР ИВАНОВИЧ,"194902, г. Санкт-Петербург, Шоссе Выборгское, 435",Санкт-Петербург,1037804022695,7802104141,46.71
"ООО ""СК ТОПЛИВО""",СИЛКИН ВИТАЛИЙ НИКОЛАЕВИЧ,"352570, Край Краснодарский, Район Мостовский, Поселок Городского Типа Мостовской, Улица Красная, Дом 227а",Краснодарский край,1172375041497,2377000030,46.73
"ООО ""ТОПЛИВО-М""",СКАЧКОВ АЛЕКСЕЙ ВИКТОРОВИЧ,"400012, Область Волгоградская, г. Волгоград, Улица Ленская, Дом 53",Волгоградская область,1183443004612,3443139014,46.71
"ООО ""ВОСТОК ТОПЛИВО""",БОГУСЛАВСКИЙ ЮРИЙ ВЛАДИМИРОВИЧ,"676850, Область Амурская, г. Белогорск, Улица Садовая, Дом 26",Амурская область,1182801004660,2804018837,46.71
